,wl [10^-6m],omega [10^9Hz],Energy [eV],Brechungsindex Luft,Brechungsindex Gold,Brechungsindex Al2O3,Brechungsindex BK7,dielectric constant air,dielectric constant Gold
118,0.53473785,3.5225701103986813,2.3188932670466476,(1+0j),(0.45877882448950547+2.398316068905749j),(1.7715650392234052+0j),(1.5193220796196407+0j),(1+0j),(1.2042800801520133+0.9957467986197263j)
119,0.5353626100000001,3.5184593248095024,2.3161871539740138,(1+0j),(0.45476484101377274+2.4075292140739504j),(1.7715202044763616+0j),(1.5192880481486406+0j),(1+0j),(1.205169802900283+0.9988340266575496j)
120,0.5359873,3.514358581460518,2.313487651666373,(1+0j),(0.45075130727688983+2.4167413269735003j),(1.7714755231307318+0j),(1.5192541353210143+0j),(1+0j),(1.2060614741349538+1.0019146531095793j)
121,0.5366120600000001,3.5102669278600507,2.3107941331024127,(1+0j),(0.4467373238011578+2.4259544721417003j),(1.7714309844264506+0j),(1.5192203329520124+0j),(1+0j),(1.2069552618205415+1.0049893930958347j)
122,0.53723676,3.5061851823185988,2.3081071369725334,(1+0j),(0.4427237258158684+2.435166732508199j),(1.7713865968929046+0j),(1.519186647497216+0j),(1+0j),(1.2078509485705011+1.008057631361814j)
123,0.53786145,3.5021129833879217,2.3054264253368597,(1+0j),(0.4387101920789855+2.444378845407749j),(1.771342356215567+0j),(1.5191530756643283+0j),(1+0j),(1.2087485746914686+1.0111196391820663j)
124,0.53848615,3.498050167694848,2.3027518906475124,(1+0j),(0.43469659409369527+2.453591105774249j),(1.7712982602454668+0j),(1.519119615805091+0j),(1+0j),(1.2096481382724673+1.0141755392102252j)
125,0.5391108400000001,3.4939968324674253,2.3000835969093103,(1+0j),(0.43068306035681164+2.462803218673801j),(1.7712543096663178+0j),(1.519086268420915+0j),(1+0j),(1.2105495802593889+1.0172252581947479j)
126,0.5397355300000001,3.489952879901853,2.297421479738419,(1+0j),(0.42666952661992874+2.4720153315733504j),(1.771210503047541+0j),(1.5190530324090445+0j),(1+0j),(1.2114528851724582+1.0202688696479694j)
127,0.54036023,3.485918212946302,2.2947654752460225,(1+0j),(0.42324933760297323+2.4808525168615496j),(1.7711668389722248+0j),(1.5190199066773984+0j),(1+0j),(1.212424722381953+1.023095484224216j)
128,0.54098492,3.481892928381171,2.292115647142253,(1+0j),(0.4202648593262923+2.4894141962861993j),(1.7711233181236041+0j),(1.5189868917273164+0j),(1+0j),(1.2134464460653984+1.0257618720455806j)
129,0.54160962,3.4778768650912317,2.289471889365628,(1+0j),(0.4172803332742621+2.4979760127656996j),(1.7710799383980012+0j),(1.5189539859460812+0j),(1+0j),(1.2144688822863356+1.0284232264819573j)
130,0.5422343100000001,3.4738701195592965,2.2868342654303815,(1+0j),(0.4142958549975807+2.506537692190351j),(1.771036700478281+0j),(1.5189211898349417+0j),(1+0j),(1.2154919819630965+1.0310794844331816j)
