,pe-1-4-0,pe-1-2-2,pe-1-1-3,pe-1-3-1,pe-1-0-4,Time,AF
513,7,40,45,19,54,12.536656891495602,9
514,5,43,39,9,39,12.561094819159335,10
515,13,41,39,19,52,12.58553274682307,9
516,6,47,46,25,37,12.609970674486803,7
517,13,40,35,17,39,12.634408602150538,8
518,8,37,50,13,52,12.658846529814271,9
519,10,38,43,21,43,12.683284457478006,4
520,13,39,31,16,58,12.70772238514174,4
521,9,46,30,14,45,12.732160312805474,13
522,5,37,36,20,43,12.756598240469208,5
523,5,34,36,18,44,12.781036168132943,3
524,15,33,41,18,54,12.805474095796676,7
525,9,36,42,16,50,12.82991202346041,10
526,8,27,25,19,47,12.854349951124144,10
527,8,41,34,11,46,12.878787878787879,8
528,5,38,36,11,52,12.903225806451612,3
529,5,33,31,12,46,12.927663734115347,7
530,8,35,28,7,52,12.95210166177908,7
531,7,34,36,14,50,12.976539589442815,10
532,9,38,48,19,46,13.000977517106548,9
533,15,26,34,14,58,13.025415444770283,4
534,6,31,46,14,39,13.049853372434017,6
535,9,25,33,17,50,13.074291300097752,4
536,8,42,37,16,33,13.098729227761485,9
537,8,33,40,16,44,13.12316715542522,10
538,9,40,36,22,35,13.147605083088953,12
539,5,31,42,12,43,13.172043010752688,9
540,11,34,24,12,39,13.196480938416421,10
541,18,40,29,17,47,13.220918866080156,5
542,7,33,34,16,57,13.24535679374389,8
543,7,44,27,12,39,13.269794721407624,10
544,11,37,30,12,50,13.294232649071358,2
545,12,29,35,13,44,13.318670576735093,7
546,11,33,34,12,40,13.343108504398826,6
547,4,30,32,17,41,13.36754643206256,5
548,6,40,40,16,41,13.391984359726294,6
549,10,25,39,8,33,13.416422287390029,9
550,9,31,39,18,41,13.440860215053762,5
551,5,31,27,10,42,13.465298142717497,11
552,5,40,28,12,41,13.48973607038123,10
553,9,34,41,15,31,13.514173998044965,5
554,7,30,29,13,50,13.538611925708699,10
555,6,25,36,14,30,13.563049853372434,10
556,3,42,38,13,39,13.587487781036168,14
557,4,30,35,10,44,13.611925708699902,12
558,11,36,33,16,44,13.636363636363637,11
559,6,33,31,17,37,13.66080156402737,5
560,8,21,36,12,43,13.685239491691105,5
561,9,39,29,17,40,13.709677419354838,9
562,5,34,36,16,36,13.734115347018573,10
563,8,27,27,20,34,13.758553274682306,11
564,4,28,42,12,29,13.782991202346041,11
565,11,29,45,16,37,13.807429130009774,13
566,9,35,35,15,36,13.83186705767351,11
567,5,29,38,16,53,13.856304985337243,7
568,12,24,25,19,36,13.880742913000978,10
569,8,33,26,14,35,13.90518084066471,13
570,5,24,39,15,48,13.929618768328446,7
571,8,26,24,14,37,13.954056695992179,7
572,4,25,23,26,36,13.978494623655914,7
573,11,43,29,16,38,14.002932551319647,9
574,20,26,25,11,50,14.027370478983382,4
575,9,23,34,11,32,14.051808406647115,8
576,5,26,31,13,33,14.07624633431085,6
577,13,25,31,13,34,14.100684261974584,10
578,12,30,40,16,34,14.125122189638319,7
579,5,29,36,11,43,14.149560117302052,9
580,13,26,43,20,37,14.173998044965787,5
581,6,33,32,5,31,14.19843597262952,10
582,9,34,29,13,29,14.222873900293255,11
583,6,26,31,11,34,14.247311827956988,7
584,3,21,31,13,33,14.271749755620723,5
585,6,33,24,15,38,14.296187683284456,9
586,10,25,35,18,39,14.320625610948191,7
587,8,27,31,8,36,14.345063538611925,8
588,4,26,38,15,30,14.36950146627566,6
589,8,28,29,16,40,14.393939393939393,8
590,7,32,25,6,40,14.418377321603128,6
591,10,28,33,20,32,14.442815249266861,9
